resource,consumer,strength,direction,ref
grazing,bulk_density,21.30795958,21.30795958,8
grazing,available_phosphorous,2.203206838,1.88598129,4
grazing,plant_tissue_quality,0.056353997,-0.056353997,1
grazing,oak_growth_reproduction,3.326306207,0.699376618,10
grazing,C:N,1.638120312,-1.638120312,1
grazing,carbon,3.295390162,-3.295390162,6
grazing,stream_morphology,1.325372254,-1.325372254,4
grazing,water_quality,0.498581077,0.098979854,11
grazing,invasive_plant_abundance,6.80423588,-6.80423588,4
grazing,bird_abundance,2.870511381,2.870511381,2
grazing,total_N,0.680148687,-0.367343454,4
grazing,total_P,0.608889018,0.608889018,1
grazing,natural_pest_control,3.793547215,3.793547215,1
tree_shrub_presence,bulk_density,2.796225069,-0.059928468,12
tree_shrub_presence,available_phosphorous,9.669186875,-7.655757139,4
tree_shrub_presence,C:N,1.543015227,1.203284697,7
tree_shrub_presence,cation,12.6499153,-12.6499153,2
tree_shrub_presence,carbon,10.37547041,9.352961641,10
tree_shrub_presence,plant_tissue_quality,12.59122369,12.59122369,2
tree_shrub_presence,electroconductivity,8.195473091,8.195473091,3
tree_shrub_presence,forage_production,5.846393941,0.570408278,7
tree_shrub_presence,microbial_biomass,4.395829004,1.69274065,4
tree_shrub_presence,N-cycling,22.98591549,22.98591549,1
tree_shrub_presence,total_N,3.676463021,2.468458957,12
tree_shrub_presence,pH,4.240157583,3.028225704,7
tree_shrub_presence,native_plant_abundance,5.790197131,0.715280677,8
tree_shrub_presence,water_holding_capacity,4.989063624,4.357524878,4
tree_shrub_presence,water_runoff,7.805713923,7.805713923,1
tree_shrub_presence,total_P,3.319696633,-3.319696633,2
grazing_tree_shrub_presence,bulk_density,3.914801463,3.914801463,1
grazing_tree_shrub_presence,available_phosphorous,1.194847449,-1.194847449,1
grazing_tree_shrub_presence,C:N,2.566141795,-2.566141795,1
grazing_tree_shrub_presence,total_N,1.988529197,-1.988529197,1
grazing_tree_shrub_presence,carbon,4.537963418,-4.537963418,1
grazing_tree_shrub_presence,total_P,2.5182056,-2.5182056,1
riparian_restoration,plant_tissue_quality,0.871612663,0.815258666,2
riparian_restoration,nematode_abundance,1.826364293,1.144387831,4
riparian_restoration,stream_morphology,7.948741334,7.948741334,1
riparian_restoration,carbon,3.603486632,3.603486632,2
riparian_restoration,amphibian_abundance,3.110437043,3.110437043,1
riparian_restoration,total_N,3.774547238,3.774547238,2
grassland_composition,insect_diversity,1.211464118,1.211464118,1
grassland_composition,natural_pest_control,7.545496423,7.545496423,1
hedgerow_planting,bulk_density,1.134545455,1.134545455,1
hedgerow_planting,carbon,2.700946412,2.700946412,2
hedgerow_planting,electroconductivity,2.036887599,2.036887599,1
hedgerow_planting,microbial_biomass,1.200473711,1.200473711,1
hedgerow_planting,pollination,45.32823282,45.32823282,1
hedgerow_planting,insect_diversity,3.226324149,2.895415058,4
hedgerow_planting,natural_pest_control,4.079567194,4.079567194,2
hedgerow_planting,pH,1.326749586,-1.326749586,1
hedgerow_planting,total_N,0.597957958,-0.597957958,1
tree_shrub_presence,erosion,2.065750501,2.065750501,1
organic_amendment,forage_production,2.463142847,2.463142847,6
organic_amendment,GHG,1.63339779,1.63339779,6
organic_amendment,carbon,0.496361361,0.496361361,6
organic_amendment,total_N,0.748382589,0.748382589,6
organic_amendment,plant_diversity,0.390069958,0.348687149,16
organic_amendment,water_runoff,5.787731897,-5.787731897,9
organic_amendment,water_quality,0.46928301,0.38563213,18